기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,상권업종소분류명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,자치구,행정동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200006,일반의원,3442201494,155402,83,17,19,14,13,18,18,17,0,0,21,34,32,14,0,41,59,0,7,12,18,24,39,2843804373,598397121,658775184,496346966,454714121,613790301,620177801,598397121,0,0,712517707,1170778205,1095740821,463164761,0,1412160914,2030040580,3198381,245510346,409706780,623057698,811766955,1348961334,134720,20682,33519,22804,24265,27884,26248,20682,0,0,38170,44271,51125,21836,0,70764,84638,439,13103,21063,24088,33624,63085,8,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200005,스포츠 강습,191365238,1034,94,6,27,17,15,17,19,6,0,0,4,13,21,60,3,25,75,1,26,22,38,11,3,179418217,11947021,51213322,31820321,28490386,32007739,35886449,11947021,0,0,6943610,24139940,39255655,114435354,6590679,47177150,144188088,1882036,49507582,41722260,73230978,20044760,4977622,1003,31,250,208,172,177,196,31,0,0,29,91,215,633,66,224,810,16,254,280,328,131,25,6,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS100010,커피-음료,298419243,72675,63,37,12,12,13,13,12,19,18,0,11,27,30,28,4,46,54,3,30,26,21,13,7,187452985,110966258,36423732,37034712,39605136,37795034,36594371,56660936,54305322,0,32811771,80444376,89393791,83328621,12440684,136573633,161597912,9253132,89730544,78458632,61121144,39651753,19956339,46819,25856,8869,8955,10054,9824,9117,13183,12673,0,9935,20336,20058,19316,3030,36175,36452,1788,23010,20290,13943,9297,4299,9,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS100009,호프-간이주점,462025565,7894,74,26,13,16,10,18,17,25,1,0,0,0,1,76,22,58,42,1,27,31,16,18,8,342086731,119938834,61265868,74548671,43886684,83979307,78406201,114241057,5697777,0,0,988554,5832467,352009790,103194754,264450864,190419733,4220046,124408081,139717914,72353234,80150103,34021219,5846,2048,1064,1250,871,1318,1343,1858,190,0,0,33,198,5866,1797,4670,3148,73,1889,2477,1184,1540,655,6,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS100008,분식전문점,1215496515,135446,71,29,14,13,15,14,15,16,13,1,8,23,23,37,9,48,52,1,17,22,25,22,13,864477332,351019183,170607466,155707725,182531370,170798930,184831841,197886557,153132626,11938260,90946987,278915028,274167762,451209227,108319251,586800656,628695859,10573026,203579583,270454548,306819540,268747870,155321948,97177,38269,19560,17275,20574,19631,20137,21460,16809,1691,10470,30706,30067,49730,12782,65248,70198,1155,23952,32428,30773,28264,18874,8,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS100007,치킨전문점,311172329,26109,70,31,12,12,14,14,17,16,15,3,0,2,11,59,25,60,40,1,18,25,21,21,14,216175886,94996443,38397588,37106386,44564053,42363377,53744482,49884680,45111763,7899768,0,6779284,34147188,183676311,78669778,186990477,124181852,3798024,54565426,77012326,65473714,66491223,43831616,18236,7873,3141,2982,3784,3812,4517,4011,3862,535,0,634,3145,15153,6642,15590,10519,343,4886,6842,5349,5075,3614,6,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS100006,패스트푸드점,15353494,983,65,35,10,16,13,13,13,16,19,0,0,11,11,63,15,57,43,0,10,20,29,27,15,10003900,5349594,1521081,2402765,2050682,2005646,2023726,2437282,2912312,0,0,1697945,1748241,9666613,2240695,8812095,6541399,0,1461550,3018302,4453176,4159513,2260953,639,344,121,137,128,118,135,162,182,0,0,106,105,630,142,581,402,0,92,218,269,260,144,4,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS100005,제과점,372916415,49339,69,31,14,15,14,13,14,17,14,0,10,20,27,34,9,44,56,1,13,20,22,24,21,258851189,114065226,51168337,54713006,50319783,50001815,52648248,62122343,51942883,113627,36795368,75753390,99216341,127173031,33864658,160121203,204835217,2111728,46558713,72970073,81009447,86936234,75370226,34743,14596,6833,7313,6943,6882,6772,7588,7008,48,4425,9225,13085,17656,4900,21607,27480,345,7990,10360,9619,11044,9730,5,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS100001,한식음식점,1284614114,64965,66,34,12,12,14,13,15,19,15,0,3,17,17,53,10,62,38,1,12,19,19,26,24,844672139,439941975,155669544,158260383,178800835,160759709,191181668,248140536,191801439,4652296,39385731,220783947,213464773,677941236,128386131,779689738,473260025,7565919,143776937,234529710,240632199,329048680,297396316,44494,20471,8331,8421,9449,8687,9606,11535,8936,285,3216,13646,12444,30828,4546,38494,25474,518,7906,11705,12977,16074,14786,27,동작구,상도3동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS300011,일반의류,18205408,646,87,13,2,42,14,18,10,11,3,0,0,12,58,22,8,22,78,0,0,4,1,34,61,15767602,2437806,381564,7708763,2567652,3226466,1883157,1968757,469049,0,0,2203640,10501582,3973928,1526258,4017162,14188246,0,0,716848,106200,6218917,11163443,515,131,38,217,131,65,64,113,18,0,0,53,337,179,77,149,497,0,0,44,9,282,311,3,동작구,신대방1동
